,S. No.,Main Topic,Lecture Name (Is order mein shuru karein),Attendance,Unnamed: 4
0,1,Python Basics (Live),000. 30th Jan Live Class python basics (Aapka pehla lecture),,https://drive.google.com/file/d/1D4yYXOlmD5TTmJ_EqaYOZ4H81kQWeQ3U/view?usp=drive_link
1,2,Data Types,"000. 31st Jan Live Class list, tuple and set",,https://drive.google.com/file/d/1qHBqcMJGGpCNq_7uRYoAf2zV9v9Vcrw0/view?usp=drive_link
2,3,Data Structures,005. Sets,,https://drive.google.com/file/d/1QJeYi6cse7OYSs3fmtTbP4gRICBog8s4/view?usp=drive_link
3,4,Control Flow/Loops,"000. 1st_Feb_Live_Class_dict_, conditional, _loop",,https://drive.google.com/file/d/1c_llAE9Kk-O-fni747wm3fl8zc1RJlMj/view?usp=drive_link
4,5,Looping Practice,000. For Loop Practice,,https://drive.google.com/file/d/1cFg4xiV_E-VSox-Hsx4iZPVa-K-aIw7e/view?usp=drive_link
5,6,Looping Practice,000. While Loop,,https://drive.google.com/file/d/12K-6HXu0Hzgur2MZ3VQLX2vLcrgFw0HN/view?usp=drive_link
6,7,Functions (Basic),002. Functions Part 1,,https://drive.google.com/file/d/1xt22cAo9uH5X1ARn1wyKYTsqN_nmoLBs/view?usp=drive_link
7,8,Functions (Advanced),001. Comprehension,,https://drive.google.com/file/d/1Ll_gCi7TUwhXY4H7qvR08Hi-a5Ge55j4/view?usp=drive_link
8,9,Lambda Functions,001. Lambda Functions,,https://drive.google.com/file/d/1KKSd979dt25ojXgKvE8I6mycQkTnZ_IV/view?usp=drive_link
9,10,Generator,000. Generator Functions,,https://drive.google.com/file/d/1jP5eDli2ybUbNlGU6saMPUkTyPaNE7R2/view?usp=drive_link
10,11,Decorators,000. Decorators,,https://drive.google.com/file/d/1YqpXRNioUKRsEgeU2qJruekuso5KfcR0/view?usp=drive_link
11,12,Modules/Packages,004. Modules And Import Statements,,https://drive.google.com/file/d/1_b8_0kNRfUVjQclzmyw01e0Bq630DEq7/view?usp=drive_link
12,13,Callback Functions,004. Callback Functions,,https://drive.google.com/file/d/1H5waXHclq9o9H0gE1n-zK8EHCqZqBqXO/view?usp=drive_link
13,14,Error Handling,000. Exceptions Handling With Try-Except,,https://drive.google.com/file/d/16ISAHmC1T_j-1axtmCQYfOWrVZjtaGH7/view?usp=drive_link
14,15,Error Handling,000. List Of General Use Exceptions,,https://drive.google.com/file/d/1XnpWr8MYAQp9cZRc24lAjvYmYgO1OWz8/view?usp=drive_link
15,16,Error Handling,001. Best Practice Exception Handling,,https://drive.google.com/file/d/1QmjOM_pK2CLaI9D2Zh_cMcYWCsEjrzSh/view?usp=drive_link
16,17,Error Handling,001. Custom Exception Handling,,https://drive.google.com/file/d/1la9PvMLyEf9BnVzwF31FabKVbx3JUR4y/view?usp=drive_link
17,18,Error Handling,002. Logging And Exception Handling,,https://drive.google.com/file/d/116vHdCgUhwq9gTD5DT0kKn-xuCg8Sho-/view?usp=drive_link
18,19,File Handling,000. Working With Files,,https://drive.google.com/file/d/18aUxu1Ck_ba0Sz8Ytf0awZs_hanl2AfL/view?usp=drive_link
19,20,File Handling,001. Reading And Writing Files,,https://drive.google.com/file/d/1U1DONqccaUMEGRUaDnEOJWCOtMEIwLXc/view?usp=drive_link
20,21,File Handling,002. Buffered Read And Write & Other File Methods,,https://drive.google.com/file/d/16O5oDA6cqIACOJTL1a1Zgr6mMep5CnJg/view?usp=drive_link
21,22,OOPS,000. OOPS PART 1,,https://drive.google.com/file/d/1DaS84Hfx5bgRpoQKKKtNX-nU4IZD5gNz/view?usp=drive_link
22,23,OOPS (Concepts),001. Encapsulation,,https://drive.google.com/file/d/1ipZ2r8FrPLX9gzAIu0zQUwS_aXSjNzTD/view?usp=drive_link
23,24,OOPS (Concepts),002. Inheritance,,https://drive.google.com/file/d/1vlzYAuYbkVpvWs6OEGBXUcIFHwb17lHL/view?usp=drive_link
24,25,OOPS (Concepts),000. Polymorphism,,https://drive.google.com/file/d/1v4BP4kmiE0ok5IZUj03qgAo32CIOqsS4/view?usp=drive_link
25,26,OOPS (Methods),001. Class Methods,,https://drive.google.com/file/d/17L2Vj1Gdr2yt1srQOzXnNzhDEUDZD9Az/view?usp=drive_link
26,27,OOPS (Methods),002. Static Method,,https://drive.google.com/file/d/1Ki69vNTjZDD2C_B-RYm5AIAwddoq00QH/view?usp=drive_link
27,28,OOPS (Advanced),003. Special (Magic Dunder) Methods,,https://drive.google.com/file/d/1QDyuR2QJZ_xNNKzJkbJZiEpmLq_d3v38/view?usp=drive_link
28,29,OOPS (Advanced),"004. Property_Decorators_Getters_, _And_Deletes",,https://drive.google.com/file/d/1Itam6XtcfK2tkk0iT9ZMf86i4HX1ctVF/view?usp=drive_link
29,30,Parallelism,000. Multithreading,,https://drive.google.com/file/d/1Qjxo085_wluinrK6Sr5WeTyc2_tYNTgL/view?usp=drive_link
30,31,Parallelism,001. Multiprocessing,,https://drive.google.com/file/d/1thSVh0l2UjIujrJ0AAEylYCrkGFz-Xoh/view?usp=drive_link
31,32,Numpy,000. Numpy Part-1,,https://drive.google.com/file/d/1aIY7wjOKR-R77RoWaWEnAWnmt2hfymMD/view?usp=drive_link
32,33,Numpy,001. Numpy part-2,,https://drive.google.com/file/d/1qrRq-aKPhm3D3MdJ10HgIT6C9wFBy-35/view?usp=drive_link
33,34,Numpy,002. Numpy part-3,,https://drive.google.com/file/d/1pfbANNyfvKcwlOK7kEpIx0nNlt236UQB/view?usp=drive_link
